/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/deeptivelusamy/CSE536Mapper&reducer/thread_test.py
CORNWALL 1
doateun 1
laundry 1
Whim 1
begging 1
amity 5
behowls 1
spot 4
questrists 1
theistrngith 1
rlosnl 1
applications 1
sI 1
inslaowish 1
pocrese 1
date 3
such 11
suck 3
truly 10
dove 3
lids 1
savours 1
tile 1
natural 7
Preservers 1
ss 1
supplication 1
speakest 2
hoa 1
warring 1
yielding 4
st 1
thunders 2
trueloves 1
sh 1
so 11
Honourable 1
Degenerate 1
sl 1
skirmish 2
wolves 3
usances 1
pulled 1
isatr 1
mne 1
Padus 1
drunken 3
eels 1
wfhe 1
bush 4
Thessaly 2
Imogen 1
Arerhiclyt 1
banishdO 1
fullyI 1
years 11
course 10
yearn 1
unsuitable 1
bucking 1
handinhand 1
deity 2
lovelier 1
savoury 1
tore 1
jig 1
limbs 5
derive 3
unprizable 1
solace 2
Pantingly 1
infirmities 2
nymph 1
torn 3
troubles 2
keepest 1
ofboyearllittlescrubbledboyuu 1
covertly 1
suspicion 3
antipathy 1
Cousin 3
cinders 1
troubled 4
dwellest 1
limbo 1
instantly 6
modestly 1
Beseech 2
patrimony 1
thereby 3
wilyman 1
plainest 1
murrion 1
courageously 1
nation 4
fr 1
aftereye 1
Aboard 1
arriving 1
reckoning 3
likecuttlurs 1
matched 1
dotards 1
trsoistisrbeams 1
presenly 1
Grants 1
Antoniad 1
heresies 1
veins 4
highbattled 1
quarter 5
workman 3
Counterfeit 1
Ghaveinsaejudgersclerke 1
stalling 1
square 4
smoky 2
daerestrnted 1
counterseald 1
ooomn 1
presages 3
beloved 8
oerwhelm 2
unfolds 1
screechowl 1
Live 4
owing 1
forfei 1
entering 1
beetle 2
mistresswhat 1
furniture 1
Ergo 1
salads 1
disasters 1
flutes 1
giddy 3
Shepherd 1
abandonwhich 1
brags 2
doubledealer 1
Joy 1
Welcome 8
abide 5
Immoment 1
Rosalind 1
Adder 1
Drums 3
losers 1
squarer 1
Saturn 2
abidt 1
Valeria 1
plet 1
worthiness 3
siege 4
million 4
seventh 1
possibility 1
quite 6
tisay 1
curbd 1
inwardly 1
Oof 1
Either 6
besides 9
Fenton 1
acting 1
EVANS 1
remainder 3
Dolabella 1
aediles 1
workmanship 1
embassage 1
disguised 6
sHow 1
backside 1
Money 3
raying 1
doctoslcome 1
Unquiet 1
wrong 11
stillswayId 1
routed 1
wanderers 1
disguises 1
enkindle 1
aboard 4
misused 2
onioneyed 1
tuoan 1
neglect 2
pleaseth 3
Blanch 1
saving 3
butterwomens 1
spoken 8
unloose 1
feebling 1
Royal 3
shortend 1
one 11
Fates 2
ANTIPHOLUS 1
CLAUDIO 1
brotherno 1
habitation 2
Shylockpon 1
ons 7
gleand 1
open 9
ont 8
languish 4
virginal 1
city 8
wronn 1
wrath 7
Monday 1
comparisonhad 1
bite 6
puppies 1
offllitd 1
connd 2
abbeywalls 1
Whathis 1
Courtesy 1
shiver 1
stuffed 1
Yere 1
begotten 1
Hme 1
JOHN 2
bits 1
ahungry 1
lingering 2
vapours 1
Malchus 1
blazon 2
surges 1
yoer 1
onessitting 1
snatch 3
tapster 2
thyunhaelloedadams 1
ridiculous 2
dubly 1
thirf 1
mknew 1
storehouses 1
sensehow 1
Seven 2
bored 1
meteors 1
reprieves 1
equalness 1
rival 2
stammer 1
folly 9
marvellously 1
Devoutly 1
executed 1
coats 1
Athenians 1
future 3
Dropsldealpiest 1
tendance 1
nuthooks 1
nourish 1
wandering 1
damned 8
Sever 1
Milkliverd 1
prospect 1
aimoalsionfuet 1
tasted 1
nicer 1
generation 2
heaeing 1
turned 7
argument 8
jewels 7
sad 10
Field 2
say 11
buried 5
faction 3
foiled 1
Hhost 1
rainwater 1
sap 3
saw 11
foppery 3
preservative 1
invite 4
coach 2
BOTH 1
taks 1
handicraft 1
baggage 3
Belike 4
translate 1
massy 1
aside 8
Forester 1
instructed 1
note 11
rumination 1
Mmuicd 1
take 11
Half 6
rag 1
blinding 1
MENENIUS 1
ionnetand 1
butterfly 1
merchantmarring 1
mercycman 1
Hyrcanian 1
armys 1
opposite 4
syllable 2
Cant 1
discerning 1
knew 10
buffet 2
blowers 1
unkindness 5
newcrowned 1
printed 1
misgives 1
knee 6
knowingly 2
inserted 1
pages 4
besrt 1
builded 1
pulpiter 1
fhe 1
archd 1
trembles 1
farmers 1
constable 3
sale 2
occidental 1
crooked 3
bade 3
touchd 6
affectst 1
axe 1
Garters 1
Snailslow 1
salt 7
sourest 2
laws 5
herbackn 1
walking 3
thedsecrcns 1
senators 2
Godden 1
Renowned 2
merit 10
hodgepudding 1
Volumnia 1
bright 6
Pless 1
Solyman 1
scarce 10
imagined 2
lippd 1
Forbear 4
spoons 1
slow 5
lettersthis 1
unkind 4
Dover 1
gourd 1
appliance 1
Hysterica 1
Ptolemy 1
medicinable 1
cloak 2
tears 10
going 8
qualfy 1
pressd 4
unworthiness 2
outrage 4
entreaties 2
serpentlike 1
wilfully 1
faild 2
godlike 1
guarded 6
Profane 1
Admired 1
oncetaught 1
freezing 1
cursing 2
ravisher 1
rejoices 1
infallible 1
XIV 1
Applies 1
Fery 1
oincs 1
Having 7
vauvado 1
prime 2
waterflies 1
borrow 7
Bajazets 1
carrion 2
priest 4
wealtye 1
landlord 1
